,Names,Gender
0,Αγάθη,Female
1,Αγαθή,Female
2,Αγαθονίκη,Female
3,Αγαύη,Female
4,Αγγέλα,Female
5,Αγγέλικα,Female
6,Αγγελίκα,Female
7,Αγγελική,Female
8,Αγγελίνα,Female
9,Αγγέλω,Female
10,Αγιούλα,Female
11,Αγλαΐα,Female
12,Αγνή,Female
13,Αγνοδίκη,Female
14,Αγορίτσα,Female
15,Αγόρω,Female
16,Αγριππίνα,Female
17,Αδαμαντία,Female
18,Αδρήστη,Female
19,Αδριανή,Female
20,Αθανασία,Female
21,Αθηνά,Female
22,Αθηναΐς,Female
23,Αίγλη,Female
24,Αίθρα,Female
25,Αικατερίνη,Female
26,Αιμιλία,Female
27,Ακαθή,Female
28,Ακριβή,Female
29,Αλέκα,Female
30,Αλεξάνδρα,Female
31,Αλέξια,Female
32,Αλεξία,Female
33,Αλίκη,Female
34,Αλίνα,Female
35,Άλκηστις,Female
36,Αλκινόη,Female
37,Αλκμήνη,Female
38,Αλκυόνη,Female
39,Αμαλία,Female
40,Αμάντα,Female
41,Αμαρυλλίς,Female
42,Αμυγδαλιά,Female
43,Αμφιτρίτη,Female
44,Αναΐς,Female
45,Ανάργυρη,Female
46,Αναστασία,Female
47,Ανδριάνα,Female
48,Ανδριανή,Female
49,Ανδρομάχη,Female
50,Ανδρονίκη,Female
51,Ανθή,Female
52,Ανθήκλεια,Female
53,Ανθημίτσα,Female
54,Ανθία,Female
55,Ανθούλα,Female
56,Ανθούσα,Female
57,Άννα,Female
58,Ανναμπέλλα,Female
59,Αννέτα,Female
60,Αννίτα,Female
61,Αννιώ,Female
62,Αννούλα,Female
63,Άννυ,Female
64,Άντα,Female
65,Άντζελα,Female
66,Αντιγόνη,Female
67,Αντιμάχη,Female
68,Αντιόπη,Female
69,Άντρια,Female
70,Αντριάνα,Female
71,Αντρούλα,Female
72,Αντωνία,Female
73,Ανυσία,Female
74,Απολλωνία,Female
75,Αποστολία,Female
76,Αργέντω,Female
77,Αργυρή,Female
78,Αργυρία,Female
79,Αργυρούλα,Female
80,Αργύρω,Female
81,Αργυρώ,Female
82,Αρετή,Female
83,Αρετούσα,Female
84,Αριάδνη,Female
85,Αριάνα,Female
86,Αριστέα,Female
87,Αρίστη,Female
88,Αριστονίκη,Female
89,Αριστούλα,Female
90,Αρκαδία,Female
91,Αρμονία,Female
92,Αρριανή,Female
93,Αρριέτα,Female
94,Αρσενία,Female
95,Αρσινόη,Female
96,Άρτεμη,Female
97,Άρτεμις,Female
98,Αρτεμισία,Female
99,Αρχοντία,Female
100,Αρχοντούλα,Female
101,Αρχόντω,Female
102,Ασημένια,Female
103,Ασημίνα,Female
104,Ασημούλα,Female
105,Ασήμω,Female
106,Ασημώνη,Female
107,Ασπασία,Female
108,Αστερόπη,Female
109,Αστέρω,Female
110,Αστρούλα,Female
111,Αταλάντη,Female
112,Ατζουλέτα,Female
113,Ατθίς,Female
114,Αυγή,Female
115,Αυγούλα,Female
116,Αυγούστα,Female
117,Αυγουστία,Female
118,Αυγουστίνη,Female
119,Αυξεντία,Female
120,Αύρα,Female
121,Αυρηλία,Female
122,Αφεντία,Female
123,Αφεντούλα,Female
124,Αφθονία,Female
125,Αφροδίτη,Female
126,Αφροξυλάνθη,Female
127,Βαγγελίτσα,Female
128,Βαγγελιώ,Female
129,Βαγγέλω,Female
130,Βάγια,Female
131,Βάια,Female
132,Βαΐα,Female
133,Βαΐτσα,Female
134,Βαλάντω,Female
135,Βαλασία,Female
136,Βαλεντίνα,Female
137,Βαλεντίνη,Female
138,Βαλέρια,Female
139,Βάλια,Female
140,Βανέσσα,Female
141,Βαρβάρα,Female
142,Βαρβαρούλα,Female
143,Βαρσαμία,Female
144,Βάσια,Female
145,Βασιλεία,Female
146,Βασιλειάννα,Female
147,Βασιλένα,Female
148,Βασιλική,Female
149,Βασιλικούλα,Female
150,Βασιλού,Female
151,Βασίλω,Female
152,Βασούλα,Female
153,Βάσω,Female
154,Βελισσαρία,Female
155,Βενεδίκτη,Female
156,Βενεδικτίνη,Female
157,Βενετία,Female
158,Βενίτα,Female
159,Βέρα,Female
160,Βερενίκη,Female
161,Βερόνικα,Female
162,Βερονίκη,Female
163,Βερούλα,Female
164,Βέφα,Female
165,Βηθλεέμ,Female
166,Βησσαρία,Female
167,Βιβή,Female
168,Βίβιαν,Female
169,Βιβιάνα,Female
170,Βιβιανή,Female
171,Βικεντία,Female
172,Βίκη,Female
173,Βικτωρία,Female
174,Βίκυ,Female
175,Βιολέτα,Female
176,Βιργινία,Female
177,Βλασία,Female
178,Βούλα,Female
179,Βοῶπις,Female
180,Βρουτία,Female
181,Γαβριέλα,Female
182,Γαία,Female
183,Γαϊανή,Female
184,Γαλακτία,Female
185,Γαλάτεια,Female
186,Γαλήνη,Female
187,Γαρουφαλλιά,Female
188,Γαρυφαλλιά,Female
189,Γενεβιέβη,Female
190,Γενοβέφα,Female
191,Γερακίνα,Female
192,Γερασιμούλα,Female
193,Γεροντίνη,Female
194,Γεσθημανή,Female
195,Γεωργία,Female
196,Γεωργούλα,Female
197,Γιάννα,Female
198,Γιάννεσα,Female
199,Γιαννέσα,Female
200,Γιαννιώ,Female
201,Γιαννούλα,Female
202,Γιασεμή,Female
203,Γιοβάννα,Female
204,Γιολάντα,Female
205,Γιούλα,Female
206,Γιούλη,Female
207,Γιωργία,Female
208,Γιώτα,Female
209,Γκόλφω,Female
210,Γλαύκη,Female
211,Γλυκερία,Female
212,Γραμματίνα,Female
213,Γρηγορία,Female
214,Γωγούλα,Female
215,Γωγώ,Female
216,Δαμασκηνή,Female
217,Δαμιανή,Female
218,Δαμοφίλη,Female
219,Δανάη,Female
220,Δαρεία,Female
221,Δάφνη,Female
222,Δάφνις,Female
223,Δεβόρα,Female
224,Δεδουσία,Female
225,Δέσποινα,Female
226,Δεσποινιώ,Female
227,Δεσποινούλα,Female
228,Δεσπούλα,Female
229,Δέσπω,Female
230,Δηιδάμεια,Female
231,Δήμητρα,Female
232,Δημητρούλα,Female
233,Δημούλλα,Female
234,Δημοφίλη,Female
235,Διαλεχτή,Female
236,Διαμαντίνα,Female
237,Διαμάντω,Female
238,Διηάνειρα,Female
239,Διηδάμεια,Female
240,Δικαία,Female
241,Διονυσία,Female
242,Διονυσούλα,Female
243,Διοτίμα,Female
244,Διώνη,Female
245,Διωξίππη,Female
246,Δομινίκη,Female
247,Δομιτίλλα,Female
248,Δόμνα,Female
