,index,Names,isMale
0,1,ΑΑΡΩΝ,1
1,3,ΑΒΑΓ,1
2,2,ΑΒΑΓΟΡΙ,1
3,4,ΑΒΑΙΣ,1
4,5,ΑΒΕΜΙΡ,1
5,6,ΑΒΕΡΚΙ,1
6,4562,ΑΒΕΡΣΑ,0
7,8,ΑΒΕΣΑΛΩΛ,1
8,9,ΑΒΕΣΑΛΩΜ,1
9,10,ΑΒΕΤ,1
10,4561,ΑΒΚΟΡ,0
11,11,ΑΒΝΙ,1
12,12,ΑΒΡ,1
13,4563,ΑΒΡΑΑΜ,0
14,14,ΑΒΡΑΑΜΘΩΜΑΣ,1
15,4564,ΑΒΡΟΒΑ,0
16,4565,ΑΒΡΟΚΟΜΗ,0
17,17,ΑΒΡΟΤΕΛΗ,1
18,18,ΑΒΤΑΝΔΙΛ,1
19,19,ΑΒΤΑΝΤΗΛ,1
20,20,ΑΒΤΑΝΤΙΛ,1
21,4566,ΑΓΑΒΝΗ,0
22,4567,ΑΓΑΘΑ,0
23,21,ΑΓΑΘΑΓΓΕΛΟ,1
24,22,ΑΓΑΘΑΓΓΕΛΟΣ,1
25,23,ΑΓΑΘΗ,1
26,4569,ΑΓΑΘΗΜΑΡΙΑ,0
27,24,ΑΓΑΘΟΚΛΕΙΑ,1
28,25,ΑΓΑΘΟΚΛΗΣ,1
29,4570,ΑΓΑΘΟΝΙΚΗ,0
30,26,ΑΓΑΘΟΣ,1
31,4571,ΑΓΑΘΟΥΛΑ,0
32,4572,ΑΓΑΘΩΛΕΙΑ,0
33,27,ΑΓΑΛΛΟΣ,1
34,28,ΑΓΑΜΕΜΝΩΝ,1
35,29,ΑΓΑΠΗ,1
36,4575,ΑΓΑΠΗΔΙΟΝΥΣΙΑ,0
37,4576,ΑΓΑΠΗΛΙΟΥΜΠΟΒ,0
38,4579,ΑΓΑΠΗΣ,0
39,4580,ΑΓΑΠΗΤΟΥΛΑ,0
40,4574,ΑΓΑΠΗΧΡΙΣΤΙΝΑ,0
41,4581,ΑΓΑΠΙΑ,0
42,31,ΑΓΑΠΙΟΣ,1
43,32,ΑΓΑΠΙΟΣΠΑΝΑΓΙΩΤΗΣ,1
44,4582,ΑΓΑΠΟΥΛΑ,0
45,4583,ΑΓΑΦΙΑ,0
46,4584,ΑΓΓΑΛΙΚΗ,0
47,33,ΑΓΓΕΛΑ,1
48,4585,ΑΓΓΕΛΑ,0
49,34,ΑΓΓΕΛΑΚΗ,1
50,35,ΑΓΓΕΛΑΚΗΣ,1
51,36,ΑΓΓΕΛΗΣ,1
52,4586,ΑΓΓΕΛΙΚΑ,0
53,37,ΑΓΓΕΛΙΚΗ,1
54,4588,ΑΓΓΕΛΙΚΗΣΟΦΙΑ,0
55,4589,ΑΓΓΕΛΙΚΗΧΡΙΣΤΙΝΑ,0
56,4600,ΑΓΓΕΛΙΚΙ,0
