,Names,isMale
0,ΑΒΕΡΚΙΟΣ,1
1,ΑΒΡΑΑΜ,0
2,ΑΒΡΑΑΜ,1
3,ΑΓΑΘΗ,0
4,ΑΓΑΘΗ,0
5,ΑΓΑΠΗ,0
6,ΑΓΑΠΗ,0
7,ΑΓΑΠΗ,0
8,ΑΓΑΠΗ,0
9,ΑΓΑΠΗΤΟΣ,1
10,ΑΓΓΕΛΑ,0
19,ΑΓΓΕΛΙΚΗ,0
17,ΑΓΓΕΛΙΚΗ,0
18,ΑΓΓΕΛΙΚΗ,0
15,ΑΓΓΕΛΙΚΗ,0
14,ΑΓΓΕΛΙΚΗ,0
13,ΑΓΓΕΛΙΚΗ,0
12,ΑΓΓΕΛΙΚΗ,0
11,ΑΓΓΕΛΙΚΗ,0
16,ΑΓΓΕΛΙΚΗ,0
28,ΑΓΓΕΛΟΣ,1
29,ΑΓΓΕΛΟΣ,1
25,ΑΓΓΕΛΟΣ,1
24,ΑΓΓΕΛΟΣ,1
21,ΑΓΓΕΛΟΣ,1
22,ΑΓΓΕΛΟΣ,1
20,ΑΓΓΕΛΟΣ,0
27,ΑΓΓΕΛΟΣ,1
23,ΑΓΓΕΛΟΣ,1
26,ΑΓΓΕΛΟΣ,1
30,ΑΓΚΑΤΑ,0
32,ΑΓΛΑΙΑ,0
31,ΑΓΛΑΙΑ,0
35,ΑΓΝΗ,0
34,ΑΓΝΗ,0
33,ΑΓΝΗ,0
37,ΑΓΟΡΗ,0
36,ΑΓΟΡΗ,0
38,ΑΓΟΡΙ,1
39,ΑΓΟΡΙ,1
41,ΑΔΑΜ,1
40,ΑΔΑΜ,1
42,ΑΔΑΜΑΝΤΙ,0
43,ΑΔΑΜΑΝΤΙΑ,0
44,ΑΔΑΜΑΝΤΙΟΣ,1
45,ΑΖΑΡΙΑΣ,1
51,ΑΘΑΝΑΣΙΑ,0
46,ΑΘΑΝΑΣΙΑ,0
47,ΑΘΑΝΑΣΙΑ,0
48,ΑΘΑΝΑΣΙΑ,0
49,ΑΘΑΝΑΣΙΑ,0
50,ΑΘΑΝΑΣΙΑ,0
52,ΑΘΑΝΑΣΙΟ,0
53,ΑΘΑΝΑΣΙΟΣ,1
55,ΑΘΑΝΑΣΙΟΣ,1
57,ΑΘΑΝΑΣΙΟΣ,1
58,ΑΘΑΝΑΣΙΟΣ,1
59,ΑΘΑΝΑΣΙΟΣ,1
60,ΑΘΑΝΑΣΙΟΣ,1
61,ΑΘΑΝΑΣΙΟΣ,1
56,ΑΘΑΝΑΣΙΟΣ,0
54,ΑΘΑΝΑΣΙΟΣ,1
65,ΑΘΗΝΑ,0
63,ΑΘΗΝΑ,0
62,ΑΘΗΝΑ,0
66,ΑΘΗΝΑ,0
67,ΑΘΗΝΑ,0
64,ΑΘΗΝΑ,0
68,ΑΘΗΝΑ,0
69,ΑΘΗΝΑ,0
70,ΑΘΗΝΑ,0
71,ΑΘΗΝΑ,0
72,ΑΙΚΑΤΕ,0
73,ΑΙΚΑΤΕΡΙ,0
74,ΑΙΚΑΤΕΡΙ,0
75,ΑΙΚΑΤΕΡΙΝΑ,0
76,ΑΙΚΑΤΕΡΙΝΑ,0
77,ΑΙΚΑΤΕΡΙΝΑ,0
96,ΑΙΚΑΤΕΡΙΝΗ,0
78,ΑΙΚΑΤΕΡΙΝΗ,0
79,ΑΙΚΑΤΕΡΙΝΗ,0
80,ΑΙΚΑΤΕΡΙΝΗ,0
81,ΑΙΚΑΤΕΡΙΝΗ,0
82,ΑΙΚΑΤΕΡΙΝΗ,0
83,ΑΙΚΑΤΕΡΙΝΗ,0
84,ΑΙΚΑΤΕΡΙΝΗ,0
85,ΑΙΚΑΤΕΡΙΝΗ,0
97,ΑΙΚΑΤΕΡΙΝΗ,0
98,ΑΙΚΑΤΕΡΙΝΗ,0
94,ΑΙΚΑΤΕΡΙΝΗ,0
93,ΑΙΚΑΤΕΡΙΝΗ,0
92,ΑΙΚΑΤΕΡΙΝΗ,0
95,ΑΙΚΑΤΕΡΙΝΗ,0
91,ΑΙΚΑΤΕΡΙΝΗ,0
99,ΑΙΚΑΤΕΡΙΝΗ,1
90,ΑΙΚΑΤΕΡΙΝΗ,1
89,ΑΙΚΑΤΕΡΙΝΗ,0
88,ΑΙΚΑΤΕΡΙΝΗ,0
87,ΑΙΚΑΤΕΡΙΝΗ,0
86,ΑΙΚΑΤΕΡΙΝΗ,0
100,ΑΙΚΑΤΕΡΙΝΗ,0
102,ΑΙΜΙΛΙΟΣ,1
101,ΑΙΜΙΛΙΟΣ,1
103,ΑΙΣΕ,0
104,ΑΚΟ,1
109,ΑΚΟ,1
108,ΑΚΟ,1
105,ΑΚΟ,0
106,ΑΚΟ,0
107,ΑΚΟ,1
110,ΑΛΒΙΝΑ,0
111,ΑΛΕΞΑΝ,0
115,ΑΛΕΞΑΝΔΡΑ,0
112,ΑΛΕΞΑΝΔΡΑ,0
113,ΑΛΕΞΑΝΔΡΑ,0
114,ΑΛΕΞΑΝΔΡΑ,0
116,ΑΛΕΞΑΝΔΡΑ,0
117,ΑΛΕΞΑΝΔΡΑ,0
118,ΑΛΕΞΑΝΔΡΑ,0
119,ΑΛΕΞΑΝΔΡΑ,0
120,ΑΛΕΞΑΝΔΡΑ,0
121,ΑΛΕΞΑΝΔΡΟ,1
143,ΑΛΕΞΑΝΔΡΟΣ,1
125,ΑΛΕΞΑΝΔΡΟΣ,1
136,ΑΛΕΞΑΝΔΡΟΣ,0
142,ΑΛΕΞΑΝΔΡΟΣ,1
141,ΑΛΕΞΑΝΔΡΟΣ,1
140,ΑΛΕΞΑΝΔΡΟΣ,1
124,ΑΛΕΞΑΝΔΡΟΣ,1
123,ΑΛΕΞΑΝΔΡΟΣ,1
122,ΑΛΕΞΑΝΔΡΟΣ,1
126,ΑΛΕΞΑΝΔΡΟΣ,1
127,ΑΛΕΞΑΝΔΡΟΣ,1
128,ΑΛΕΞΑΝΔΡΟΣ,1
129,ΑΛΕΞΑΝΔΡΟΣ,1
130,ΑΛΕΞΑΝΔΡΟΣ,1
132,ΑΛΕΞΑΝΔΡΟΣ,1
133,ΑΛΕΞΑΝΔΡΟΣ,1
134,ΑΛΕΞΑΝΔΡΟΣ,1
135,ΑΛΕΞΑΝΔΡΟΣ,1
137,ΑΛΕΞΑΝΔΡΟΣ,1
138,ΑΛΕΞΑΝΔΡΟΣ,1
131,ΑΛΕΞΑΝΔΡΟΣ,1
139,ΑΛΕΞΑΝΔΡΟΣ,1
144,ΑΛΕΞΙΑ,0
145,ΑΛΕΞΙΟΣ,1
146,ΑΛΙ,1
151,ΑΛΙΚΗ,0
147,ΑΛΙΚΗ,0
148,ΑΛΙΚΗ,0
149,ΑΛΙΚΗ,0
150,ΑΛΙΚΗ,0
152,ΑΛΚΗΣ,1
153,ΑΛΚΜΗΝΗ,0
154,ΑΛΜΑ,0
155,ΑΛΜΑ,0
156,ΑΛΤΙΝΑ,0
157,ΑΜΑΛΙΑ,0
158,ΑΜΑΛΙΑ,0
160,ΑΜΑΛΙΑ,0
162,ΑΜΑΛΙΑ,0
163,ΑΜΑΛΙΑ,0
164,ΑΜΑΛΙΑ,0
159,ΑΜΑΛΙΑ,0
161,ΑΜΑΛΙΑ,0
165,ΑΜΒΡΟΣΙΟΣ,1
167,ΑΜΠΑΣ,1
166,ΑΜΠΑΣ,1
168,ΑΜΥΓΔΑΛΙΑ,0
169,ΑΜΦΙΘΕΑ,0
170,ΑΝΑ,0
171,ΑΝΑΙΤ,0
172,ΑΝΑΡΓΥΡΟΣ,1
173,ΑΝΑΡΓΥΡΟΣ,1
174,ΑΝΑΣΤ,0
175,ΑΝΑΣΤΑ,0
176,ΑΝΑΣΤΑΣΙ,0
184,ΑΝΑΣΤΑΣΙΑ,0
188,ΑΝΑΣΤΑΣΙΑ,0
194,ΑΝΑΣΤΑΣΙΑ,0
193,ΑΝΑΣΤΑΣΙΑ,0
192,ΑΝΑΣΤΑΣΙΑ,0
191,ΑΝΑΣΤΑΣΙΑ,0
190,ΑΝΑΣΤΑΣΙΑ,0
189,ΑΝΑΣΤΑΣΙΑ,0
197,ΑΝΑΣΤΑΣΙΑ,0
187,ΑΝΑΣΤΑΣΙΑ,0
186,ΑΝΑΣΤΑΣΙΑ,0
185,ΑΝΑΣΤΑΣΙΑ,0
183,ΑΝΑΣΤΑΣΙΑ,0
182,ΑΝΑΣΤΑΣΙΑ,0
181,ΑΝΑΣΤΑΣΙΑ,0
180,ΑΝΑΣΤΑΣΙΑ,0
179,ΑΝΑΣΤΑΣΙΑ,0
178,ΑΝΑΣΤΑΣΙΑ,0
177,ΑΝΑΣΤΑΣΙΑ,0
198,ΑΝΑΣΤΑΣΙΑ,0
199,ΑΝΑΣΤΑΣΙΑ,0
200,ΑΝΑΣΤΑΣΙΑ,0
201,ΑΝΑΣΤΑΣΙΑ,0
195,ΑΝΑΣΤΑΣΙΑ,0
196,ΑΝΑΣΤΑΣΙΑ,0
203,ΑΝΑΣΤΑΣΙΟΣ,1
202,ΑΝΑΣΤΑΣΙΟΣ,0
204,ΑΝΑΣΤΑΣΙΟΣ,1
211,ΑΝΑΣΤΑΣΙΟΣ,1
