Names,isMale,isFemale
ΑΓΓΕΛΟΣ,1,0
ΑΑΡΩΝ,1,0
ΑΒΑΓΟΡΙ,1,0
ΑΒΑΓ,1,0
ΑΒΑΙΣ,1,0
ΑΒΕΜΙΡ,1,0
ΑΒΕΡΚΙ,1,0
ΑΒΕΡΚΙΟΣ,1,0
ΑΒΕΣΑΛΩΛ,1,0
ΑΒΕΣΑΛΩΜ,1,0
ΑΒΕΤ,1,0
ΑΒΝΙ,1,0
ΑΒΡ,1,0
ΑΒΡΑΑΜ,1,0
ΑΒΡΑΑΜΘΩΜΑΣ,1,0
ΑΒΡΑΑΜ-ΑΝΔΡΕΑΣ,1,0
ΑΒΡΟΤΕΛΗ,1,0
ΑΒΤΑΝΔΙΛ,1,0
ΑΒΤΑΝΤΗΛ,1,0
ΑΒΤΑΝΤΙΛ,1,0
ΑΓΑΘΑΓΓΕΛΟ,1,0
ΑΓΑΘΑΓΓΕΛΟΣ,1,0
ΑΓΑΘΗ,1,0
ΑΓΑΘΟΚΛΕΙΑ,1,0
ΑΓΑΘΟΚΛΗΣ,1,0
ΑΓΑΘΟΣ,1,0
ΑΓΑΛΛΟΣ,1,0
ΑΓΑΜΕΜΝΩΝ,1,0
ΑΓΑΠΗ,1,0
ΑΓΑΠΗΤΟΣ,1,0
ΑΓΑΠΙΟΣ,1,0
ΑΓΑΠΙΟΣΠΑΝΑΓΙΩΤΗΣ,1,0
ΑΓΓΕΛΑ,1,0
ΑΓΓΕΛΑΚΗ,1,0
ΑΓΓΕΛΑΚΗΣ,1,0
ΑΓΓΕΛΗΣ,1,0
ΑΓΓΕΛΙΚΗ,1,0
ΑΓΓΕΛΟ,1,0
ΑΓΓΕΛΟΠΑΝΑΓΗΣ,1,0
ΑΓΓΕΛΟΣ,1,0
ΑΓΓΕΛΟΣΛΕΑΝΔΡΟΣ,1,0
ΑΓΓΕΛΟΣΜΙΧΑΗΛ,1,0
ΑΓΓΕΛΟΣΠΑΣΧΑΛΗΣ,1,0
ΑΓΓΕΛΟΣ-ΑΙΜΙΛΙΟΣ,1,0
ΑΓΓΕΛΟΣ-ΧΡΙΣΤΟΦΟΡΟΣ,1,0
ΑΓΕΨΙΜ,1,0
ΑΓΗΣ,1,0
ΑΓΗΣΙΛΑΟΣ,1,0
ΑΓΙΑΖ,1,0
ΑΓΙΟΠΟΥΛΟΣ,1,0
ΑΓΚΑΠΙΟΣ,1,0
ΑΓΚΙΜ,1,0
ΑΓΚΟ,1,0
ΑΓΚΟΠ,1,0
ΑΓΚΟΣΤΙΝ,1,0
ΑΓΚΡΟΝ,1,0
ΑΓΛΑΙΑ,1,0
ΑΓΝΗ,1,0
ΑΓΟΡΑΣΤΟΣ,1,0
ΑΓΟΡΗ,1,0
ΑΓΟΡΙ,1,0
ΑΓΟΡΙ-ΑΚΟ,1,0
ΑΓΡΟΝ,1,0
ΑΔΑΜ,1,0
ΑΔΑΜ-ΑΝΑΣΤΑΣΙΟΣ,1,0
ΑΔΑΜΑΝΤΙ,1,0
ΑΔΑΜΑΝΤΙΑ,1,0
ΑΔΑΜΑΝΤΙΟΣ,1,0
ΑΔΑΜΑΝΤΙΟΣ-ΘΕΟΔΩΡΟΣ,1,0
ΑΔΑΜΟΣ,1,0
ΑΔΕΜ,1,0
ΑΔΜΙΡ,1,0
ΑΔΡΙΑΝΟΣ-ΙΩΑΝΝΗΣ,1,0
ΑΔΡΙΑΤΙΚ,1,0
ΑΔΩΝΗΣ,1,0
ΑΔΩΝΙΣ,1,0
ΑΕΞΑΝΔΡΟΣ,1,0
ΑΖΑΡ,1,0
ΑΖΑΡΙΑΣ,1,0
ΑΖΑΡΙΑΣ-ΝΙΚΟΛΑΟΣ,1,0
ΑΖΑΤ,1,0
ΑΖΗΜ,1,0
ΑΖΙΖ,1,0
ΑΖΙΣ,1,0
ΑΖΟΖ,1,0
ΑΗΔΟΝΗΣ,1,0
ΑΘΑ,1,0
ΑΘΑΝΑΣ,1,0
ΑΘΑΝΑΣΙΑ,1,0
ΑΘΑΝΑΣΙΟ,1,0
ΑΘΑΝΑΣΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΗΛΙΑΣ,1,0
ΑΘΑΝΑΣΙΟΣΑΓΓΕΛΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΓΕΩΡΓΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΔΙΟΝΥΣΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΕΛΕΥΘΕΡΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΚΛΕΟΒΟΥΛΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΜΑΡΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΝΙΚΟΛΑΟΣ,1,0
ΑΘΑΝΑΣΙΟΣΧΡΗΣΤΟΣ,1,0
ΑΘΑΝΑΣΙΟΣ-ΓΕΩΡΓΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣ-ΔΙΟΝΥΣΙΟΣ,1,0
ΑΘΑΝΑΣΙΟΣ-ΗΛΙΑΣ,1,0
ΑΘΑΝΑΣΙΟΣ-ΝΙΚΟΣ,1,0
ΑΘΑΝΑΣΙΟΣ-ΡΑΦΑΗΛ,1,0
ΑΘΑΝΑΣΙΟΣ-ΧΡΗΣΤΟΣ,1,0
ΑΘΑΝΣΙΟΣ,1,0
ΑΘΗΝΑ,1,0
ΑΘΗΝΑΓΟΡΑΣ,1,0
ΑΘΗΝΑΙΟΣ,1,0
ΑΘΗΝΟΓΕΝΗΣ,1,0
ΑΘΗΝΟΔΩΡΟΣ,1,0
ΑΘΙΑΝΟΣ,1,0
ΑΘΝΑΣΙΟΣ,1,0
ΑΙΑΣ-ΙΩΑΝΝΗΣ,1,0
ΑΙΒΑΝ,1,0
ΑΙΓΚΟΥΣ,1,0
ΑΙΓΛΗ,1,0
ΑΙΚ,1,0
ΑΙΚΑΖ,1,0
ΑΙΚΑΤΕΡΙ,1,0
ΑΙΚΑΤΕΡΙΝΗ,1,0
ΑΙΚΑΤΕΡΙΝΗ-ΔΑΦΝΗ,1,0
ΑΙΚΑΤΕΡΙΝΗ-ΠΗΝΕΛΟΠΗ,1,0
ΑΙΚΟΥΣ,1,0
ΑΙΜΑΝ,1,0
ΑΙΜΗΛΙΟΣ,1,0
ΑΙΜΙΛΙΑΝ,1,0
ΑΙΜΙΛΙΑΝΟΣ,1,0
ΑΙΜΙΛΙΟ,1,0
ΑΙΜΙΛΙΟΣ,1,0
ΑΙΜΙΛΙΟΣ-ΙΩΑΝΝΗΣ,1,0
ΑΙΝΤΕΝ,1,0
ΑΙΝΤΙΝ,1,0
ΑΙΝΤΟΒΑΝ,1,0
ΑΙΡΓΙΕ,1,0
ΑΙΡΙΝΤΙΝ,1,0
ΑΙΣΕ,1,0
ΑΙΣΧΙΛΟΣ,1,0
ΑΙΤΙΝ,1,0
ΑΚΑ,1,0
ΑΚΑΝ,1,0
ΑΚΗΣ,1,0
ΑΚΙΝΔΥΝΟΣ,1,0
ΑΚΛΙΒΙΑΔΗΣ,1,0
ΑΚΟ,1,0
ΑΚΟ-ΑΓΟΡΙ,1,0
ΑΚΟ-ΑΡΡΕΝ,1,0
ΑΚΟΜΠ,1,0
ΑΚΟΠ,1,0
ΑΚΟΥΙΦ,1,0
ΑΚΡΑΜ,1,0
ΑΚΡΙΒΟΣ,1,0
ΑΚΡΙΤΑΣ,1,0
ΑΚΤΙΣ,1,0
ΑΚΥΛΑΣ,1,0
ΑΚΥΛΛΑΣ,1,0
ΑΚΧΤΑΡ,1,0
ΑΛΤΖΑΜΑΛ,1,0
ΑΛΑΑ,1,0
ΑΛΑΞΑΝΔΡΟΣ,1,0
ΑΛΒΕΡΤΟΣ,1,0
ΑΛΒΙ,1,0
ΑΛΒΙΝΑ,1,0
ΑΛΓΕΝΤ,1,0
ΑΛΕΚΟ,1,0
ΑΛΕΚΟΣ,1,0
ΑΛΕΚΣΑΝ,1,0
ΑΛΕΚΣΑΝΔΕΡ,1,0
ΑΛΕΚΣΙ,1,0
ΑΛΕΛΕΞΑΝΔΡΟΣ,1,0
ΑΛΕΞ,1,0
ΑΛΕΞΑΝ,1,0
ΑΛΕΞΑΝΔΕΡ,1,0
ΑΛΕΞΑΝΔΡ,1,0
ΑΛΕΞΑΝΔΡΑ,1,0
ΑΛΕΞΑΝΔΡΕ,1,0
ΑΛΕΞΑΝΔΡΟ,1,0
ΑΛΕΞΑΝΔΡΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΑΘΑΝΑΣΙΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΑΝΑΣΤΑΣΙΟ,1,0
ΑΛΕΞΑΝΔΡΟΣΘΕΟΔΩΡΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΘΕΟΦΙΛΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΙΩΑΝΝΗΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΙΩΣΗΦ,1,0
ΑΛΕΞΑΝΔΡΟΣΚΩΝΣΤΑΝΤΙΝΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΜΑΡΙΝΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣΠΑΝΑΓΙΩΤΗΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΑΥΞΕΝΤΙΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΒΑΣΙΛΕΙΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΒΙΚΤΩΡ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΓΕΩΡΓΙΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΔΗΜΟΚΡΙΤΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΘΕΟΦΙΛΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΙΑΝ-ΓΙΩΡΓ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΝΙΚΟΛΑΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΠΑΥΛΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΠΕΤΡΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΡΑΦΑΗΛ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΣΩΤΗΡΙΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΧΑΡΑΛΑΜΠΟ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΧΡΗΣΤΟΣ,1,0
ΑΛΕΞΑΝΔΡΟΣ-ΧΡΥΣΟΒΑΛΑ,1,0
ΑΛΕΞΑΝΡΟΣ,1,0
ΑΛΕΞΑΝΤΑΡ,1,0
ΑΛΕΞΑΝΤΕΡ,1,0
ΑΛΕΞΑΝΤΡ,1,0
ΑΛΕΞΑΝΤΡΟΣ,1,0
ΑΛΕΞΑΝΤΡΟΥ,1,0
ΑΛΕΞΕΙ,1,0
ΑΛΕΞΗ,1,0
ΑΛΕΞΗΣ,1,0
ΑΛΕΞΙΑ,1,0
ΑΛΕΞΙΟΣ,1,0
ΑΛΕΞΙΟΣΓΕΩΡΓΙΟΣ,1,0
ΑΛΕΞΙΟΣΛΑΖΑΡΟΣ,1,0
ΑΛΕΞΙΟΣΜΑΡΚΟΣ,1,0
ΑΛΕΞΙΟΣ-ΔΗΜΗΤΡΙΟΣ,1,0
ΑΛΕΣΙΟ,1,0
ΑΛΗ,1,0
ΑΛΗΟΣΜΑΝ,1,0
ΑΛΗΣ,1,0
ΑΛΙ,1,0
ΑΛΙΚΗ,1,0
ΑΛΙΜΑΝ,1,0
ΑΛΚΕΤ,1,0
ΑΛΚΕΤΑΣ,1,0
ΑΛΚΗΣ,1,0
ΑΛΚΗΣ-ΑΘΑΝΑΣΙΟΣ,1,0
ΑΛΚΙ,1,0
ΑΛΚΙΒΙΑΔ,1,0
ΑΛΚΙΒΙΑΔΗΣ,1,0
ΑΛΚΙΝΟΟΣ,1,0
ΑΛΚΜΗΝΗ,1,0
ΑΛΚΥΩΝ,1,0
ΑΛΛΕΛΙΚΗ,1,0
ΑΛΛΕΞΑΝΔΡΟΣ,1,0
ΑΛΜΑ,1,0
ΑΛΜΗΡ,1,0
ΑΛΜΠΑΝ,1,0
ΑΛΜΠΕΡ,1,0
ΑΛΜΠΕΡΤ,1,0
ΑΛΜΠΙ,1,0
ΑΛΝΤΙ,1,0
ΑΛΝΤΟ,1,0
ΑΛΤΙΝ,1,0
ΑΛΤΙΝΑ,1,0
ΑΛΦΡΕΝΤ,1,0
ΑΛΧΑΣΣΑΝΕ,1,0
ΑΜΑΛΙΑ,1,0
ΑΜΑΝΑΤΙΟΣ,1,0
ΑΜΑΝΤΑΛΝΤΕΙΝ,1,0
ΑΜΑΝΤ-ΑΛΝΤΕΙΝ,1,0
ΑΜΑΡΙΛΝΤΟ,1,0
ΑΜΒΡΟΣΙΟΣ,1,0
ΑΜΒΡΟΣΙΟΣ-ΡΑΦΑΗΛ,1,0
ΑΜΕΤ,1,0
ΑΜΕΤΡΙΤΒΑΝ,1,0
ΑΜΙΝ,1,0
ΑΜΙΡΑΝ,1,0
ΑΜΜΑΡ,1,0
ΑΜΝΤΑΛΑ-ΘΕΟΦΙΛΟΣ,1,0
ΑΜΠΑΖ,1,0
ΑΜΠΑΡΤΣΟΥΜ,1,0
ΑΜΠΑΣ,1,0
ΑΜΠΑΣ-ΑΜΠΝΤΟΥΛΑΜΕΡ-ΣΑΡΕΦ,1,0
ΑΜΠΕΣΙ,1,0
ΑΜΠΙΤΗΝ,1,0
ΑΜΠΝΤΑΛΛΑ,1,0
