,Suffix 3,Female,Male,ASCII 1,ASCII 2,ASCII 3
0,ΑΑΚ,1.0,1.0,128,128,137
1,ΑΑΛ,1.0,1.0,128,128,138
2,ΑΑΜ,0.0,1.0,128,128,139
3,ΑΒΑ,7.0,2.0,128,129,128
4,ΑΒΕ,1.0,0.0,128,129,132
5,ΑΒΗ,1.0,0.0,128,129,134
6,ΑΒΡ,0.0,1.0,128,129,144
7,ΑΓΓ,2.0,0.0,128,130,130
8,ΑΓΔ,0.0,1.0,128,130,131
9,ΑΓΗ,1.0,0.0,128,130,134
10,ΑΓΩ,2.0,0.0,128,130,152
11,ΑΔΑ,8.0,0.0,128,131,128
12,ΑΔΗ,3.0,1.0,128,131,134
13,ΑΔΙ,0.0,1.0,128,131,136
14,ΑΔΩ,1.0,0.0,128,131,152
15,ΑΕΛ,0.0,3.0,128,132,138
16,ΑΖΑ,0.0,2.0,128,133,128
17,ΑΖΕ,2.0,0.0,128,133,132
18,ΑΖΗ,2.0,2.0,128,133,134
19,ΑΖΙ,1.0,6.0,128,133,136
20,ΑΖΩ,1.0,0.0,128,133,152
21,ΑΗΚ,0.0,1.0,128,134,137
22,ΑΗΛ,0.0,18.0,128,134,138
23,ΑΗΜ,0.0,3.0,128,134,139
24,ΑΗΣ,0.0,1.0,128,134,146
25,ΑΗΤ,0.0,1.0,128,134,147
26,ΑΘΑ,1.0,1.0,128,135,128
27,ΑΘΗ,1.0,0.0,128,135,134
28,ΑΙΑ,16.0,2.0,128,136,128
29,ΑΙΖ,0.0,1.0,128,136,133
30,ΑΙΗ,2.0,0.0,128,136,134
31,ΑΙΚ,0.0,5.0,128,136,137
32,ΑΙΛ,0.0,3.0,128,136,138
33,ΑΙΜ,0.0,7.0,128,136,139
34,ΑΙΝ,1.0,0.0,128,136,140
35,ΑΙΟ,0.0,1.0,128,136,142
36,ΑΙΡ,0.0,5.0,128,136,144
37,ΑΙΣ,3.0,2.0,128,136,146
38,ΑΙΤ,0.0,2.0,128,136,147
39,ΑΙΦ,0.0,1.0,128,136,149
40,ΑΚΑ,2.0,1.0,128,137,128
41,ΑΚΕ,2.0,2.0,128,137,132
42,ΑΚΗ,5.0,15.0,128,137,134
43,ΑΚΙ,0.0,7.0,128,137,136
44,ΑΚΟ,0.0,3.0,128,137,142
45,ΑΚΥ,1.0,0.0,128,137,148
46,ΑΚΩ,1.0,0.0,128,137,152
47,ΑΛΑ,8.0,4.0,128,138,128
48,ΑΛΕ,0.0,1.0,128,138,132
49,ΑΛΗ,8.0,9.0,128,138,134
50,ΑΛΙ,6.0,6.0,128,138,136
51,ΑΛΟ,0.0,1.0,128,138,142
52,ΑΛΩ,2.0,0.0,128,138,152
53,ΑΜΑ,8.0,1.0,128,139,128
54,ΑΜΕ,0.0,1.0,128,139,132
55,ΑΜΗ,1.0,3.0,128,139,134
56,ΑΜΙ,1.0,5.0,128,139,136
57,ΑΜΛ,0.0,1.0,128,139,138
58,ΑΜΟ,0.0,1.0,128,139,142
59,ΑΜΠ,2.0,4.0,128,139,143
60,ΑΜΨ,0.0,1.0,128,139,151
61,ΑΜΩ,4.0,0.0,128,139,152
62,ΑΝ,0.0,1.0,128,140,140
63,ΑΝΑ,119.0,4.0,128,140,128
64,ΑΝΔ,0.0,2.0,128,140,131
65,ΑΝΕ,8.0,4.0,128,140,132
66,ΑΝΖ,0.0,1.0,128,140,133
67,ΑΝΗ,63.0,4.0,128,140,134
68,ΑΝΙ,4.0,7.0,128,140,136
69,ΑΝΝ,1.0,1.0,128,140,140
70,ΑΝΟ,0.0,10.0,128,140,142
71,ΑΝΣ,0.0,1.0,128,140,146
72,ΑΝΤ,1.0,28.0,128,140,147
73,ΑΝΥ,1.0,0.0,128,140,148
74,ΑΝΩ,8.0,2.0,128,140,152
75,ΑΞΑ,1.0,0.0,128,141,128
76,ΑΞΩ,1.0,0.0,128,141,152
77,ΑΟΣ,0.0,20.0,128,142,146
78,ΑΟΥ,0.0,1.0,128,142,148
79,ΑΠΗ,2.0,0.0,128,143,134
80,ΑΡΑ,31.0,1.0,128,144,128
81,ΑΡΔ,0.0,1.0,128,144,131
82,ΑΡΕ,0.0,1.0,128,144,132
83,ΑΡΗ,1.0,2.0,128,144,134
84,ΑΡΙ,4.0,8.0,128,144,136
85,ΑΡΚ,0.0,1.0,128,144,137
86,ΑΡΛ,0.0,1.0,128,144,138
87,ΑΡΤ,2.0,3.0,128,144,147
88,ΑΡΩ,4.0,0.0,128,144,152
89,ΑΣΑ,5.0,2.0,128,146,128
90,ΑΣΗ,1.0,1.0,128,146,134
91,ΑΣΙ,2.0,1.0,128,146,136
92,ΑΣΟ,0.0,1.0,128,146,142
93,ΑΣΤ,1.0,0.0,128,146,147
94,ΑΣΩ,3.0,0.0,128,146,152
95,ΑΤΑ,13.0,1.0,128,147,128
96,ΑΤΕ,3.0,0.0,128,147,132
97,ΑΤΗ,8.0,0.0,128,147,134
98,ΑΤΙ,0.0,2.0,128,147,136
99,ΑΤΟ,0.0,2.0,128,147,142
100,ΑΤΡ,2.0,0.0,128,147,144
101,ΑΤΣ,0.0,1.0,128,147,146
102,ΑΤΩ,5.0,2.0,128,147,152
103,ΑΥΕ,0.0,1.0,128,148,132
104,ΑΦΑ,1.0,1.0,128,149,128
105,ΑΦΕ,1.0,0.0,128,149,132
106,ΑΦΗ,1.0,0.0,128,149,134
107,ΑΦΡ,1.0,0.0,128,149,144
108,ΑΦΩ,3.0,0.0,128,149,152
109,ΑΧΑ,1.0,1.0,128,150,128
110,ΑΧΕ,1.0,0.0,128,150,132
111,ΑΧΗ,4.0,0.0,128,150,134
112,ΑΧΟ,1.0,1.0,128,150,142
113,ΒΑ,1.0,0.0,129,128,128
114,ΒΑΓ,0.0,1.0,129,128,130
115,ΒΑΖ,0.0,1.0,129,128,133
116,ΒΑΚ,0.0,1.0,129,128,137
117,ΒΑΛ,2.0,0.0,129,128,138
118,ΒΑΝ,0.0,15.0,129,128,140
119,ΒΑΡ,0.0,1.0,129,128,144
120,ΒΑΣ,0.0,2.0,129,128,146
121,ΒΑΤ,0.0,1.0,129,128,147
122,ΒΕΙ,1.0,0.0,129,132,136
123,ΒΕΛ,0.0,3.0,129,132,138
124,ΒΕΝ,1.0,2.0,129,132,140
125,ΒΕΡ,3.0,2.0,129,132,144
126,ΒΕΤ,16.0,3.0,129,132,147
127,ΒΗΣ,0.0,1.0,129,134,146
128,ΒΗΤ,0.0,1.0,129,134,147
129,ΒΙ,0.0,1.0,129,136,136
130,ΒΙΑ,10.0,0.0,129,136,128
131,ΒΙΔ,0.0,2.0,129,136,131
132,ΒΙΕ,0.0,1.0,129,136,132
133,ΒΙΚ,1.0,2.0,129,136,137
134,ΒΙΝ,1.0,3.0,129,136,140
135,ΒΙΟ,0.0,2.0,129,136,142
136,ΒΙΣ,0.0,4.0,129,136,146
137,ΒΙΤ,0.0,5.0,129,136,147
138,ΒΚΑ,2.0,0.0,129,137,128
139,ΒΛΑ,1.0,0.0,129,138,128
140,ΒΛΙ,0.0,1.0,129,138,136
141,ΒΛΟ,0.0,1.0,129,138,142
142,ΒΝΗ,1.0,0.0,129,140,134
143,ΒΝΙ,0.0,1.0,129,140,136
144,ΒΟΝ,1.0,1.0,129,142,140
145,ΒΟΣ,0.0,5.0,129,142,146
146,ΒΥΑ,1.0,0.0,129,148,128
147,ΒΩΝ,0.0,1.0,129,152,140
148,ΓΑΚ,0.0,2.0,130,128,137
149,ΓΑΝ,0.0,4.0,130,128,140
150,ΓΑΣ,0.0,1.0,130,128,146
151,ΓΓΑ,1.0,0.0,130,130,128
152,ΓΓΕ,1.0,0.0,130,130,132
153,ΓΔΑ,1.0,1.0,130,131,128
154,ΓΔΗ,1.0,0.0,130,131,134
155,ΓΔΩ,1.0,0.0,130,131,152
156,ΓΕΙ,0.0,1.0,130,132,136
157,ΓΕΛ,0.0,2.0,130,132,138
158,ΓΕΝ,0.0,2.0,130,132,140
159,ΓΕΣ,0.0,1.0,130,132,146
160,ΓΗΣ,0.0,8.0,130,134,146
161,ΓΙ,0.0,1.0,130,136,136
162,ΓΙΑ,27.0,3.0,130,136,128
163,ΓΙΕ,12.0,1.0,130,136,132
164,ΓΙΟ,0.0,3.0,130,136,142
165,ΓΙΣ,0.0,1.0,130,136,146
166,ΓΙΩ,1.0,2.0,130,136,152
167,ΓΚ,0.0,1.0,130,137,137
168,ΓΚΑ,9.0,2.0,130,137,128
169,ΓΚΕ,2.0,1.0,130,137,132
170,ΓΚΗ,2.0,1.0,130,137,134
171,ΓΚΙ,3.0,11.0,130,137,136
172,ΓΚΟ,1.0,5.0,130,137,142
173,ΓΚΩ,1.0,0.0,130,137,152
174,ΓΛΗ,0.0,1.0,130,138,134
175,ΓΝΗ,1.0,0.0,130,140,134
176,ΓΟΡ,0.0,2.0,130,142,144
177,ΓΟΣ,0.0,8.0,130,142,146
178,ΔΑΔ,0.0,1.0,131,128,131
179,ΔΑΙ,0.0,1.0,131,128,136
180,ΔΑΛ,1.0,0.0,131,128,138
181,ΔΑΜ,0.0,1.0,131,128,139
182,ΔΑΝ,1.0,3.0,131,128,140
183,ΔΑΣ,0.0,8.0,131,128,146
184,ΔΑΤ,0.0,1.0,131,128,147
185,ΔΕΑ,2.0,0.0,131,132,128
186,ΔΕΜ,0.0,1.0,131,132,139
187,ΔΕΡ,0.0,4.0,131,132,144
188,ΔΕΣ,1.0,0.0,131,132,146
189,ΔΕΤ,0.0,3.0,131,132,147
190,ΔΗΝ,1.0,2.0,131,134,140
191,ΔΗΣ,1.0,36.0,131,134,146
192,ΔΙΑ,17.0,1.0,131,136,128
193,ΔΙΕ,3.0,1.0,131,136,132
194,ΔΙΛ,0.0,1.0,131,136,138
195,ΔΙΝ,0.0,1.0,131,136,140
196,ΔΙΣ,1.0,0.0,131,136,146
197,ΔΚΑ,1.0,0.0,131,137,128
198,ΔΝΗ,2.0,0.0,131,140,134
199,ΔΟΚ,0.0,1.0,131,142,137
200,ΔΟΣ,0.0,12.0,131,142,146
201,ΔΟΥ,3.0,0.0,131,142,148
202,ΔΡΑ,11.0,1.0,131,144,128
203,ΔΡΕ,0.0,1.0,131,144,132
204,ΔΡΗ,1.0,0.0,131,144,134
205,ΔΡΙ,0.0,2.0,131,144,136
206,ΔΡΟ,0.0,2.0,131,144,142
207,ΔΩΝ,0.0,6.0,131,152,140
208,ΔΩΡ,0.0,1.0,131,152,144
209,ΕΑΝ,0.0,1.0,132,128,140
210,ΕΑΣ,0.0,13.0,132,128,146
211,ΕΒΑ,8.0,1.0,132,129,128
212,ΕΒΗ,0.0,1.0,132,129,134
213,ΕΒΙ,0.0,1.0,132,129,136
214,ΕΓΚ,0.0,3.0,132,130,137
215,ΕΕΜ,2.0,0.0,132,132,139
216,ΕΖΑ,11.0,0.0,132,133,128
217,ΕΖΕ,3.0,0.0,132,133,132
218,ΕΖΗ,0.0,1.0,132,133,134
219,ΕΖΟ,0.0,1.0,132,133,142
220,ΕΗΜ,0.0,1.0,132,134,139
221,ΕΙ,1.0,0.0,132,136,136
222,ΕΙΑ,40.0,1.0,132,136,128
223,ΕΙΒ,0.0,1.0,132,136,129
224,ΕΙΔ,0.0,1.0,132,136,131
225,ΕΙΖ,0.0,1.0,132,136,133
226,ΕΙΚ,0.0,1.0,132,136,137
227,ΕΙΛ,0.0,2.0,132,136,138
228,ΕΙΜ,1.0,5.0,132,136,139
229,ΕΙΝ,1.0,3.0,132,136,140
230,ΕΙΟ,0.0,1.0,132,136,142
231,ΕΙΣ,1.0,0.0,132,136,146
232,ΕΙΤ,1.0,3.0,132,136,147
233,ΕΙΩ,2.0,0.0,132,136,152
234,ΕΚΑ,5.0,2.0,132,137,128
235,ΕΚΗ,3.0,0.0,132,137,134
236,ΕΚΙ,0.0,1.0,132,137,136
237,ΕΚΟ,0.0,1.0,132,137,142
238,ΕΛ,1.0,0.0,132,138,138
239,ΕΛΑ,77.0,4.0,132,138,128
240,ΕΛΕ,2.0,1.0,132,138,132
241,ΕΛΗ,8.0,4.0,132,138,134
242,ΕΛΙ,4.0,3.0,132,138,136
243,ΕΛΟ,0.0,5.0,132,138,142
244,ΕΛΩ,1.0,0.0,132,138,152
245,ΕΜΑ,1.0,0.0,132,139,128
246,ΕΜΕ,2.0,0.0,132,139,132
247,ΕΜΗ,4.0,1.0,132,139,134
248,ΕΜΙ,0.0,1.0,132,139,136
249,ΕΝΑ,40.0,2.0,132,140,128
250,ΕΝΒ,0.0,1.0,132,140,129
251,ΕΝΕ,4.0,0.0,132,140,132
252,ΕΝΗ,37.0,1.0,132,140,134
253,ΕΝΙ,4.0,3.0,132,140,136
254,ΕΝΚ,1.0,2.0,132,140,137
255,ΕΝΟ,1.0,0.0,132,140,142
256,ΕΝΣ,0.0,2.0,132,140,146
257,ΕΝΤ,1.0,19.0,132,140,147
258,ΕΝΩ,1.0,0.0,132,140,152
259,ΕΞΕ,1.0,0.0,132,141,132
260,ΕΞΗ,0.0,1.0,132,141,134
261,ΕΞΙ,1.0,0.0,132,141,136
262,ΕΞΩ,1.0,0.0,132,141,152
263,ΕΟΔ,1.0,0.0,132,142,131
264,ΕΟΝ,0.0,2.0,132,142,140
265,ΕΟΣ,0.0,6.0,132,142,146
266,ΕΠΑ,0.0,1.0,132,143,128
267,ΕΠΕ,1.0,1.0,132,143,132
268,ΕΡΑ,13.0,1.0,132,144,128
269,ΕΡΕ,2.0,1.0,132,144,132
270,ΕΡΗ,3.0,2.0,132,144,134
271,ΕΡΙ,6.0,7.0,132,144,136
272,ΕΡΟ,1.0,1.0,132,144,142
273,ΕΡΤ,1.0,6.0,132,144,147
274,ΕΡΩ,2.0,0.0,132,144,152
275,ΕΣΑ,9.0,0.0,132,146,128
276,ΕΣΕ,1.0,0.0,132,146,132
277,ΕΣΘ,1.0,0.0,132,146,135
278,ΕΣΙ,0.0,1.0,132,146,136
279,ΕΣΚ,0.0,1.0,132,146,137
280,ΕΣΤ,0.0,3.0,132,146,147
281,ΕΤΑ,77.0,3.0,132,147,128
282,ΕΤΕ,5.0,0.0,132,147,132
283,ΕΤΗ,10.0,1.0,132,147,134
284,ΕΤΙ,0.0,1.0,132,147,136
285,ΕΤΤ,1.0,0.0,132,147,147
286,ΕΤΩ,2.0,0.0,132,147,152
287,ΕΥΑ,1.0,1.0,132,148,128
288,ΕΥΗ,7.0,0.0,132,148,134
289,ΕΥΟ,1.0,0.0,132,148,142
290,ΕΥΣ,0.0,7.0,132,148,146
291,ΕΦΑ,3.0,1.0,132,149,128
292,ΕΦΕ,0.0,1.0,132,149,132
293,ΕΦΗ,1.0,0.0,132,149,134
294,ΕΧΙ,1.0,0.0,132,150,136
295,ΕΩΝ,0.0,9.0,132,152,140
296,ΖΑΛ,0.0,2.0,133,128,138
297,ΖΑΝ,3.0,10.0,133,128,140
298,ΖΑΡ,4.0,5.0,133,128,144
299,ΖΑΤ,1.0,2.0,133,128,147
300,ΖΑΧ,0.0,1.0,133,128,150
301,ΖΔΙ,0.0,1.0,133,131,136
302,ΖΕΙ,0.0,1.0,133,132,136
303,ΖΕΛ,3.0,1.0,133,132,138
304,ΖΕΝ,1.0,3.0,133,132,140
305,ΖΕΠ,1.0,1.0,133,132,143
306,ΖΕΡ,0.0,3.0,133,132,144
307,ΖΕΤ,2.0,2.0,133,132,147
308,ΖΕΦ,0.0,1.0,133,132,149
309,ΖΗΜ,0.0,2.0,133,134,139
310,ΖΗΠ,0.0,1.0,133,134,143
311,ΖΗΣ,0.0,11.0,133,134,146
312,ΖΙΑ,8.0,1.0,133,136,128
313,ΖΙΕ,1.0,2.0,133,136,132
314,ΖΙΖ,0.0,1.0,133,136,133
315,ΖΙΚ,1.0,2.0,133,136,137
316,ΖΙΜ,1.0,9.0,133,136,139
317,ΖΙΝ,0.0,2.0,133,136,140
318,ΖΙΟ,0.0,2.0,133,136,142
319,ΖΙΡ,0.0,2.0,133,136,144
320,ΖΙΣ,0.0,1.0,133,136,146
321,ΖΙΤ,0.0,2.0,133,136,147
322,ΖΙΧ,0.0,1.0,133,136,150
323,ΖΛΑ,2.0,0.0,133,138,128
324,ΖΛΗ,1.0,0.0,133,138,134
325,ΖΜΑ,0.0,1.0,133,139,128
326,ΖΜΗ,0.0,3.0,133,139,134
327,ΖΜΙ,0.0,1.0,133,139,136
328,ΖΝΑ,0.0,1.0,133,140,128
329,ΖΟΖ,0.0,1.0,133,142,133
330,ΖΟΙ,0.0,1.0,133,142,136
331,ΖΟΝ,0.0,3.0,133,142,140
332,ΖΟΣ,0.0,5.0,133,142,146
333,ΖΟΥ,1.0,0.0,133,142,148
334,ΖΡΑ,1.0,0.0,133,144,128
335,ΖΩΗ,7.0,0.0,133,152,134
336,ΗΒΑ,1.0,0.0,134,129,128
337,ΗΒΗ,1.0,0.0,134,129,134
338,ΗΓΕ,1.0,0.0,134,130,132
339,ΗΓΗ,3.0,0.0,134,130,134
340,ΗΓΩ,1.0,0.0,134,130,152
341,ΗΔΑ,2.0,0.0,134,131,128
342,ΗΘΑ,0.0,1.0,134,135,128
343,ΗΘΗ,1.0,0.0,134,135,134
344,ΗΙΛ,0.0,1.0,134,136,138
345,ΗΙΣ,2.0,0.0,134,136,146
346,ΗΚΑ,3.0,0.0,134,137,128
347,ΗΛΑ,7.0,0.0,134,138,128
348,ΗΛΕ,1.0,0.0,134,138,132
349,ΗΛΗ,3.0,0.0,134,138,134
350,ΗΛΙ,1.0,0.0,134,138,136
351,ΗΛΟ,0.0,1.0,134,138,142
352,ΗΛΥ,1.0,0.0,134,138,148
353,ΗΜΕ,4.0,0.0,134,139,132
354,ΗΜΗ,1.0,1.0,134,139,134
355,ΗΜΟ,0.0,1.0,134,139,142
356,ΗΜΩ,1.0,1.0,134,139,152
357,ΗΝΑ,11.0,0.0,134,140,128
358,ΗΝΗ,20.0,3.0,134,140,134
359,ΗΟΤ,0.0,1.0,134,142,147
360,ΗΡΑ,6.0,0.0,134,144,128
361,ΗΡΩ,1.0,0.0,134,144,152
362,ΗΣΗ,0.0,1.0,134,146,134
363,ΗΣΙ,1.0,0.0,134,146,136
364,ΗΣΩ,1.0,0.0,134,146,152
365,ΗΤΑ,1.0,0.0,134,147,128
366,ΗΤΗ,2.0,0.0,134,147,134
367,ΗΤΡ,0.0,1.0,134,147,144
368,ΗΤΩ,1.0,0.0,134,147,152
369,ΗΦΕ,2.0,0.0,134,149,132
370,ΗΩ,1.0,0.0,134,152,152
371,ΘΑΝ,0.0,2.0,135,128,140
372,ΘΕΑ,17.0,0.0,135,132,128
373,ΘΕΜ,0.0,1.0,135,132,139
374,ΘΕΝ,1.0,1.0,135,132,140
375,ΘΗΡ,1.0,0.0,135,134,144
376,ΘΗΣ,0.0,4.0,135,134,146
377,ΘΙΑ,10.0,2.0,135,136,128
378,ΘΙΕ,1.0,0.0,135,136,132
379,ΘΙΟ,0.0,1.0,135,136,142
380,ΘΟΣ,0.0,5.0,135,142,146
381,ΘΡΑ,1.0,0.0,135,144,128
382,ΘΩΝ,0.0,2.0,135,152,140
383,ΙΑ,1.0,0.0,136,128,128
384,ΙΑΑ,0.0,1.0,136,128,128
385,ΙΑΔ,0.0,1.0,136,128,131
386,ΙΑΖ,0.0,2.0,136,128,133
387,ΙΑΚ,2.0,0.0,136,128,137
388,ΙΑΛ,0.0,1.0,136,128,138
389,ΙΑΜ,2.0,7.0,136,128,139
390,ΙΑΝ,6.0,54.0,136,128,140
391,ΙΑΡ,2.0,3.0,136,128,144
392,ΙΑΣ,3.0,19.0,136,128,146
393,ΙΑΤ,0.0,1.0,136,128,147
394,ΙΒ,0.0,1.0,136,129,129
395,ΙΒΑ,1.0,1.0,136,129,128
396,ΙΒΕ,1.0,2.0,136,129,132
397,ΙΒΗ,2.0,0.0,136,129,134
398,ΙΒΙ,0.0,1.0,136,129,136
399,ΙΒΩ,1.0,0.0,136,129,152
400,ΙΓΕ,7.0,0.0,136,130,132
401,ΙΓΚ,0.0,1.0,136,130,137
402,ΙΓΩ,3.0,0.0,136,130,152
403,ΙΔΑ,23.0,2.0,136,131,128
404,ΙΔΕ,4.0,0.0,136,131,132
405,ΙΔΗ,3.0,3.0,136,131,134
406,ΙΔΙ,0.0,1.0,136,131,136
407,ΙΔΩ,4.0,1.0,136,131,152
408,ΙΕΒ,0.0,1.0,136,132,129
409,ΙΕΖ,0.0,1.0,136,132,133
410,ΙΕΛ,2.0,6.0,136,132,138
411,ΙΕΜ,1.0,0.0,136,132,139
412,ΙΕΝ,3.0,2.0,136,132,140
413,ΙΕΡ,0.0,2.0,136,132,144
414,ΙΕΤ,0.0,1.0,136,132,147
415,ΙΕΦ,0.0,2.0,136,132,149
416,ΙΕΧ,0.0,1.0,136,132,150
417,ΙΖΑ,7.0,1.0,136,133,128
418,ΙΖΕ,6.0,1.0,136,133,132
419,ΙΖΙ,0.0,1.0,136,133,136
420,ΙΗΛ,1.0,3.0,136,134,138
421,ΙΘΑ,1.0,0.0,136,135,128
422,ΙΙΑ,3.0,0.0,136,136,128
423,ΙΚΑ,41.0,7.0,136,137,128
424,ΙΚΕ,5.0,2.0,136,137,132
425,ΙΚΗ,57.0,3.0,136,137,134
426,ΙΚΙ,1.0,1.0,136,137,136
427,ΙΚΟ,8.0,11.0,136,137,142
428,ΙΚΣ,0.0,1.0,136,137,146
429,ΙΚΥ,1.0,0.0,136,137,148
430,ΙΚΩ,1.0,0.0,136,137,152
431,ΙΛΑ,25.0,0.0,136,138,128
432,ΙΛΕ,7.0,1.0,136,138,132
433,ΙΛΗ,19.0,1.0,136,138,134
434,ΙΛΙ,2.0,2.0,136,138,136
435,ΙΛΟ,1.0,3.0,136,138,142
436,ΙΛΥ,1.0,0.0,136,138,148
437,ΙΛΩ,1.0,0.0,136,138,152
438,ΙΜΑ,9.0,0.0,136,139,128
439,ΙΜΕ,14.0,1.0,136,139,132
440,ΙΜΗ,3.0,1.0,136,139,134
441,ΙΜΙ,0.0,2.0,136,139,136
442,ΙΜΟ,0.0,3.0,136,139,142
443,ΙΜΠ,0.0,3.0,136,139,143
444,ΙΜΥ,1.0,0.0,136,139,148
445,ΙΝΑ,192.0,7.0,136,140,128
446,ΙΝΓ,0.0,1.0,136,140,130
447,ΙΝΕ,19.0,4.0,136,140,132
448,ΙΝΗ,56.0,0.0,136,140,134
449,ΙΝΙ,2.0,1.0,136,140,136
450,ΙΝΝ,0.0,1.0,136,140,140
451,ΙΝΟ,1.0,8.0,136,140,142
452,ΙΝΤ,1.0,12.0,136,140,147
453,ΙΝΩ,3.0,0.0,136,140,152
454,ΙΞΗ,1.0,0.0,136,141,134
455,ΙΟΛ,0.0,2.0,136,142,138
456,ΙΟΜ,0.0,1.0,136,142,139
457,ΙΟΝ,1.0,17.0,136,142,140
458,ΙΟΣ,2.0,220.0,136,142,146
459,ΙΟΤ,0.0,3.0,136,142,147
460,ΙΟΥ,5.0,9.0,136,142,148
