Άγγελος;Άγγελε;Άγ-γε-λος
Άγις;Άγις;Ά-γις
Άλεξ;Άλεξ;Ά-λεξ
Άλκης;Άλκη;Άλ-κης
Άλκηστις;Άλκηστις;Άλ-κη-στις
Άλτσος;Άλτσο;Άλ-τσος
Άνθεια;Άνθεια;Άν-θεια
Άνθια;Άνθια;Άν-θια
Άνθιμη;Άνθιμη;Άν-θι-μη
Άνθιμος;Άνθιμε;Άν-θι-μος
Άννα;Άννα;Άν-να
ΆνναΜαρία;ΆνναΜαρία;Άν-να-Μα-ρία
Άννη;Άννη;Άν-νη
Άντα;Άντα;Ά-ντα
Άντζελα;Άντζελα;Ά-ντζε-λα
Άντζυ;Άντζυ;Ά-ντζυ
Άξια;Άξια;Ά-ξια
Άξιος;Άξιε;Ά-ξι-ος
Άρης;Άρη;Ά-ρης
Άρια;Άρια;Ά-ρια
Άρυα;Άρυα;Ά-ρυα
Άτζελα;Άτζελα;Ά-τζε-λα
Έκτορας;Έκτορα;Έ-κτο-ρας
Έλενα;Έλενα;Έ-λε-να
Έλενος;Έλενε;Έ-λε-νος
Έλλη;Έλλη;Έλ-λη
Έλντα;Έλντα;Έλ-ντα
Έλσα;Έλσα;Έλ-σα
Έλση;Έλση;Έλ-ση
Έμιλυ;Έμιλυ;Έ-μι-λυ
Έμμα;Έμμα;Έμ-μα
Έμμυ;Έμμυ;Έμ-μυ
Έμυ;Έμυ;Έ-μυ
Έντουαρντ;Έντουαρντ;Έ-ντου-αρντ
Έντυ;Έντυ;Έ-ντυ
Έρασμος;Έρασμε;Έ-ρα-σμος
Έρρικα;Έρρικα;Έρ-ρι-κα
Έρση;Έρση;Έρ-ση
Έρως;Έρως;Έ-ρως
Έρωτας;Έρωτα;Έ-ρω-τας
Έσπερος;Έσπερε;Έ-σπε-ρος
Έφη;Έφη;Έ-φη
Ήβη;Ήβη;Ή-βη
Ήλια;Ήλια;Ή-λια
Ήρα;Ήρα;Ή-ρα
Ήρων;Ήρων;Ή-ρων
Ίακχη;Ίακχη;Ία-κχη
Ίακχος;Ίακχο;Ία-κχος
Ίριδα;Ίριδα;Ί-ρι-δα
Ίρις;Ίρις;Ί-ρις
Ίων;Ίων;Ί-ων
Ίωνας;Ίωνα;Ί-ω-νας
Όθων;Όθων;Ό-θων
Όθωνας;Όθωνα;Ό-θω-νας
Όλγα;Όλγα;Όλ-γα
Όλια;Όλια;Ό-λια
Όμηρος;Όμηρε;Ό-μη-ρος
Όσιος;Όσιε;Ό-σι-ος
Ύπατος;Ύπατε;Ύ-πα-τος
Αέτης;Αέτη;Α-έ-της
Αέτιος;Αέτιε;Α-έ-τι-ος
Αίθαν;Αίθαν;Αί-θαν
Αίολος;Αίολε;Αί-ο-λος
Αίσωπος;Αίσωπε;Αί-σω-πος
Ααρών;Ααρών;Α-α-ρών
Αβέρκιος;Αβέρκιε;Α-βέρ-κι-ος
Αβερκία;Αβερκία;Α-βερ-κία
Αβραάμ;Αβραάμ;Α-βρα-άμ
Αβραμία;Αβραμία;Α-βρα-μία
Αγάθων;Αγάθων;Α-γά-θων
Αγάπη;Αγάπη;Α-γά-πη
Αγάπιος;Αγάπιε;Α-γά-πι-ος
Αγαθάγγελος;Αγαθάγγελε;Α-γα-θάγ-γε-λος
Αγαθή;Αγαθή;Α-γα-θή
Αγαθία;Αγαθία;Α-γα-θία
Αγαθίτσα;Αγαθίτσα;Α-γα-θί-τσα
Αγαθαγγέλα;Αγαθαγγέλα;Α-γα-θαγ-γέ-λα
Αγαθαγγέλη;Αγαθαγγέλη;Α-γα-θαγ-γέ-λη
Αγαθοκλέας;Αγαθοκλέα;Α-γα-θο-κλέ-ας
Αγαθοκλής;Αγαθοκλής;Α-γα-θο-κλής
Αγαθονίκη;Αγαθονίκη;Α-γα-θο-νί-κη
Αγαθούλα;Αγαθούλα;Α-γα-θού-λα
Αγαθόκλεια;Αγαθόκλεια;Α-γα-θό-κλεια
Αγαθόκλεος;Αγαθόκλεε;Α-γα-θό-κλε-ος
Αγαθόνικος;Αγαθόνικε;Α-γα-θό-νι-κος
Αγαθώ;Αγαθώ;Α-γα-θώ
Αγαμέμνονας;Αγαμέμνονα;Α-γα-μέ-μνο-νας
Αγαμέμνων;Αγαμέμνων;Α-γα-μέ-μνων
Αγαπητός;Αγαπητέ;Α-γα-πη-τός
Αγγέλα;Αγγέλα;Αγ-γέ-λα
Αγγέλλω;Αγγέλλω;Αγ-γέλ-λω
Αγγελής;Αγγελής;Αγ-γε-λής
Αγγελίνα;Αγγελίνα;Αγ-γε-λί-να
Αγγελική;Αγγελική;Αγ-γε-λι-κή
Αγησίλαος;Αγησίλαε;Α-γη-σί-λα-ος
Αγλαΐα;Αγλαΐα;Α-γλα-ΐ-α
Αγνή;Αγνή;Α-γνή
Αγνούλα;Αγνούλα;Α-γνού-λα
Αγορίτσα;Αγορίτσα;Α-γο-ρί-τσα
Αγριππίνα;Αγριππίνα;Α-γριπ-πί-να
Αγόρω;Αγόρω;Α-γό-ρω
Αδάμ;Αδάμ;Α-δάμ
Αδάμας;Αδάμα;Α-δά-μας
Αδάμης;Αδάμη;Α-δά-μης
Αδάμος;Αδάμο;Α-δά-μος
Αδαμάντιος;Αδαμάντιε;Α-δα-μά-ντι-ος
Αδαμαντία;Αδαμαντία;Α-δα-μα-ντία
Αδριάνα;Αδριάνα;Α-δριά-να
Αδριανή;Αδριανή;Α-δρια-νή
Αδριανός;Αδριανέ;Α-δρια-νός
Αετίνα;Αετίνα;Α-ε-τί-να
Αετίς;Αετίς;Α-ε-τίς
Αετίων;Αετίων;Α-ε-τί-ων
Αετός;Αετέ;Α-ε-τός
Αζαρίας;Αζαρία;Α-ζα-ρίας
Αθανάσιος;Αθανάσιε;Α-θα-νά-σι-ος
Αθανασία;Αθανασία;Α-θα-να-σία
Αθηνά;Αθηνά;Α-θη-νά
Αθηναγόρας;Αθηναγόρα;Α-θη-να-γό-ρας
Αθηνοδωρής;Αθηνοδωρής;Α-θη-νο-δω-ρής
Αθηνοδώρα;Αθηνοδώρα;Α-θη-νο-δώ-ρα
Αθηνόδωρας;Αθηνόδωρα;Α-θη-νό-δω-ρας
Αθηνόδωρος;Αθηνόδωρε;Α-θη-νό-δω-ρος
Αιθάν;Αιθάν;Αι-θάν
Αικατερίνα;Αικατερίνα;Αι-κα-τε-ρί-να
Αικατερίνη;Αικατερίνη;Αι-κα-τε-ρί-νη
Αιμίλιος;Αιμίλιε;Αι-μί-λι-ος
Αιμιλία;Αιμιλία;Αι-μι-λία
Αιμιλιανή;Αιμιλιανή;Αι-μι-λια-νή
Αιμιλιανός;Αιμιλιανέ;Αι-μι-λια-νός
Αιτωλία;Αιτωλία;Αι-τω-λία
Ακάκιος;Ακάκιε;Α-κά-κι-ος
Ακίνδυνη;Ακίνδυνη;Α-κίν-δυ-νη
Ακίνδυνος;Ακίνδυνε;Α-κίν-δυ-νος
Ακριβή;Ακριβή;Α-κρι-βή
Ακυλήνη;Ακυλήνη;Α-κυ-λή-νη
Ακυλίνα;Ακυλίνα;Α-κυ-λί-να
Ακυλίνη;Ακυλίνη;Α-κυ-λί-νη
Ακύλας;Ακύλα;Α-κύ-λας
Αλέκα;Αλέκα;Α-λέ-κα
Αλέκος;Αλέκο;Α-λέ-κος
Αλέξα;Αλέξα;Α-λέ-ξα
Αλέξανδρος;Αλέξανδρε;Α-λέ-ξαν-δρος
Αλέξαντρος;Αλέξαντρε;Α-λέ-ξα-ντρος
Αλέξης;Αλέξη;Α-λέ-ξης
Αλέξιος;Αλέξιε;Α-λέ-ξι-ος
Αλίκη;Αλίκη;Α-λί-κη
Αλβέρτος;Αλβέρτο;Αλ-βέρ-τος
Αλεξάνδρα;Αλεξάνδρα;Α-λε-ξάν-δρα
Αλεξάντρα;Αλεξάντρα;Α-λε-ξά-ντρα
Αλεξία;Αλεξία;Α-λε-ξία
Αλεξανδρα;Αλεξανδρα;Α-λε-ξαν-δρα
Αλκίνοος;Αλκίνοε;Αλ-κί-νο-ος
Αλκιβιάδης;Αλκιβιάδη;Αλ-κι-βιά-δης
Αλκμήνη;Αλκμήνη;Αλ-κμή-νη
Αλυπία;Αλυπία;Α-λυ-πία
Αλφαίος;Αλφαίο;Αλ-φαί-ος
Αλφρέδος;Αλφρέδο;Αλ-φρέ-δος
Αλύπιος;Αλύπιε;Α-λύ-πι-ος
Αμάντα;Αμάντα;Α-μά-ντα
Αμέρσα;Αμέρσα;Α-μέρ-σα
Αμέρσσα;Αμέρσσα;Α-μέρ-σσα
Αμαλία;Αμαλία;Α-μα-λία
Αμβροσία;Αμβροσία;Αμ-βρο-σία
Αμβρόσης;Αμβρόση;Αμ-βρό-σης
Αμβρόσιος;Αμβρόσιε;Αμ-βρό-σι-ος
Αμελί;Αμελί;Α-με-λί
Αμερισούδα;Αμερισούδα;Α-με-ρι-σού-δα
Αμερσούδα;Αμερσούδα;Α-μερ-σού-δα
Αμπλία;Αμπλία;Α-μπλία
Αμπλίος;Αμπλίο;Α-μπλί-ος
Αμφιλοχία;Αμφιλοχία;Αμ-φι-λο-χία
Αμφιλόχιος;Αμφιλόχιε;Αμ-φι-λό-χι-ος
Αμφιτρίτη;Αμφιτρίτη;Αμ-φι-τρί-τη
Ανάργυρη;Ανάργυρη;Α-νάρ-γυ-ρη
Ανάργυρος;Ανάργυρε;Α-νάρ-γυ-ρος
Ανέζα;Ανέζα;Α-νέ-ζα
Ανέστης;Ανέστη;Α-νέ-στης
Ανέτα;Ανέτα;Α-νέ-τα
Ανίτα;Ανίτα;Α-νί-τα
Ανανίας;Ανανία;Α-να-νίας
Αναξίμανδρος;Αναξίμανδρε;Α-να-ξί-μαν-δρος
Αναξιμένης;Αναξιμένη;Α-να-ξι-μέ-νης
Αναργυρούλα;Αναργυρούλα;Α-ναρ-γυ-ρού-λα
Αναστάσης;Αναστάση;Α-να-στά-σης
Αναστάσιος;Αναστάσιε;Α-να-στά-σι-ος
