,full_name_1,full_name_2,broken_name,gender
0,Άγγελος,Άγγελε,Άγ-γε-λος,Male
1,Άγις,Άγις,Ά-γις,Male
2,Άλεξ,Άλεξ,Ά-λεξ,Male
3,Άλκης,Άλκη,Άλ-κης,Male
4,Άλκηστις,Άλκηστις,Άλ-κη-στις,Male
5,Άλτσος,Άλτσο,Άλ-τσος,Male
6,Άνθεια,Άνθεια,Άν-θεια,Female
7,Άνθια,Άνθια,Άν-θια,Female
8,Άνθιμη,Άνθιμη,Άν-θι-μη,Female
9,Άνθιμος,Άνθιμε,Άν-θι-μος,Male
10,Άννα,Άννα,Άν-να,Female
11,ΆνναΜαρία,ΆνναΜαρία,Άν-να-Μα-ρία,Female
12,Άννη,Άννη,Άν-νη,Female
13,Άντα,Άντα,Ά-ντα,Female
14,Άντζελα,Άντζελα,Ά-ντζε-λα,Female
15,Άντζυ,Άντζυ,Ά-ντζυ,Female
16,Άξια,Άξια,Ά-ξια,Female
17,Άξιος,Άξιε,Ά-ξι-ος,Male
18,Άρης,Άρη,Ά-ρης,Male
19,Άρια,Άρια,Ά-ρια,Female
20,Άρυα,Άρυα,Ά-ρυα,Female
21,Άτζελα,Άτζελα,Ά-τζε-λα,Female
22,Έκτορας,Έκτορα,Έ-κτο-ρας,Male
23,Έλενα,Έλενα,Έ-λε-να,Female
24,Έλενος,Έλενε,Έ-λε-νος,Male
25,Έλλη,Έλλη,Έλ-λη,Female
26,Έλντα,Έλντα,Έλ-ντα,Female
27,Έλσα,Έλσα,Έλ-σα,Female
28,Έλση,Έλση,Έλ-ση,Female
29,Έμιλυ,Έμιλυ,Έ-μι-λυ,Female
30,Έμμα,Έμμα,Έμ-μα,Female
31,Έμμυ,Έμμυ,Έμ-μυ,Female
32,Έμυ,Έμυ,Έ-μυ,Female
33,Έντουαρντ,Έντουαρντ,Έ-ντου-αρντ,Female
34,Έντυ,Έντυ,Έ-ντυ,Female
35,Έρασμος,Έρασμε,Έ-ρα-σμος,Male
36,Έρρικα,Έρρικα,Έρ-ρι-κα,Female
37,Έρση,Έρση,Έρ-ση,Female
38,Έρως,Έρως,Έ-ρως,Male
39,Έρωτας,Έρωτα,Έ-ρω-τας,Male
40,Έσπερος,Έσπερε,Έ-σπε-ρος,Male
41,Έφη,Έφη,Έ-φη,Female
42,Ήβη,Ήβη,Ή-βη,Female
43,Ήλια,Ήλια,Ή-λια,Female
